hcpcs_code,modifier,status_code,work_rvu,non_facility_pe_rvu,facility_pe_rvu,malpractice_rvu,total_non_facility,total_facility,conversion_factor,rate_non_facility,rate_facility
23525,,A,3.7,8.87,6.5,0.79,13.36,10.99,33.4009,446.24,367.08
23530,,A,7.29,7.61,7.61,1.54,16.44,16.44,33.4009,549.11,549.11
23532,,A,8.0,8.18,8.18,1.7,17.88,17.88,33.4009,597.21,597.21
23540,,A,2.3,5.49,4.9,0.49,8.28,7.69,33.4009,276.56,256.85
23545,,A,3.34,10.86,8.59,0.83,15.03,12.76,33.4009,502.02,426.2
23550,,A,7.4,7.33,7.33,1.46,16.19,16.19,33.4009,540.76,540.76
23552,,A,8.6,8.04,8.04,1.69,18.33,18.33,33.4009,612.24,612.24
23570,,A,2.3,5.19,4.8,0.47,7.96,7.57,33.4009,265.87,252.84
23575,,A,4.12,8.74,6.35,0.88,13.74,11.35,33.4009,458.93,379.1
23585,,A,13.87,10.12,10.12,2.82,26.81,26.81,33.4009,895.48,895.48
23600,,A,2.93,7.87,6.4,0.61,11.41,9.94,33.4009,381.1,332.0
23605,,A,4.93,10.0,7.19,1.08,16.01,13.2,33.4009,534.75,440.89
23615,,A,11.99,10.18,10.18,2.49,24.66,24.66,33.4009,823.67,823.67
23616,,A,17.91,11.97,11.97,3.7,33.58,33.58,33.4009,1121.6,1121.6
23620,,A,2.49,6.28,5.14,0.5,9.27,8.13,33.4009,309.63,271.55
23625,,A,4.0,8.54,6.42,0.88,13.42,11.3,33.4009,448.24,377.43
23630,,A,10.31,9.56,9.56,2.11,21.98,21.98,33.4009,734.15,734.15
23650,,A,3.44,8.73,6.75,0.82,12.99,11.01,33.4009,433.88,367.74
23655,,A,4.64,6.88,6.88,1.02,12.54,12.54,33.4009,418.85,418.85
23660,,A,7.47,7.55,7.55,1.48,16.5,16.5,33.4009,551.11,551.11
23665,,A,4.54,9.38,6.93,1.0,14.92,12.47,33.4009,498.34,416.51
23670,,A,11.97,9.99,9.99,2.52,24.48,24.48,33.4009,817.65,817.65
23675,,A,6.11,11.4,7.86,1.33,18.84,15.3,33.4009,629.27,511.03
23680,,A,12.82,10.35,10.35,2.73,25.9,25.9,33.4009,865.08,865.08
23700,,A,2.51,2.53,2.53,0.49,5.53,5.53,33.4009,184.71,184.71
23800,,A,14.36,10.93,10.93,3.05,28.34,28.34,33.4009,946.58,946.58
23802,,A,17.96,13.61,13.61,3.83,35.4,35.4,33.4009,1182.39,1182.39
23900,,A,20.2,13.13,13.13,4.3,37.63,37.63,33.4009,1256.88,1256.88
23920,,A,15.82,11.79,11.79,3.36,30.97,30.97,33.4009,1034.43,1034.43
23921,,A,5.58,6.97,6.97,1.2,13.75,13.75,33.4009,459.26,459.26
23930,,A,2.92,7.88,2.61,0.61,11.41,6.14,33.4009,381.1,205.08
23931,,A,1.79,7.56,2.61,0.35,9.7,4.75,33.4009,323.99,158.65
23935,,A,6.22,7.31,7.31,1.3,14.83,14.83,33.4009,495.34,495.34
24000,,A,5.93,6.66,6.66,1.22,13.81,13.81,33.4009,461.27,461.27
24006,,A,9.5,8.46,8.46,1.93,19.89,19.89,33.4009,664.34,664.34
24065,,A,2.08,5.49,2.09,0.28,7.85,4.45,33.4009,262.2,148.63
24066,,A,5.22,14.13,6.03,1.2,20.55,12.45,33.4009,686.39,415.84
24071,,A,5.56,4.86,4.86,1.31,11.73,11.73,33.4009,391.79,391.79
24073,,A,9.88,7.43,7.43,2.25,19.56,19.56,33.4009,653.32,653.32
24075,,A,4.13,12.02,4.57,0.9,17.05,9.6,33.4009,569.49,320.65
24076,,A,7.22,6.82,6.82,1.56,15.6,15.6,33.4009,521.05,521.05
24077,,A,15.33,9.82,9.82,3.53,28.68,28.68,33.4009,957.94,957.94
24079,,A,20.09,12.0,12.0,4.62,36.71,36.71,33.4009,1226.15,1226.15
24100,,A,4.94,6.3,6.3,1.07,12.31,12.31,33.4009,411.17,411.17
24101,,A,6.14,7.06,7.06,1.25,14.45,14.45,33.4009,482.64,482.64
24102,,A,8.05,7.66,7.66,1.62,17.33,17.33,33.4009,578.84,578.84
24105,,A,3.69,6.28,6.28,0.75,10.72,10.72,33.4009,358.06,358.06
24110,,A,7.39,7.99,7.99,1.57,16.95,16.95,33.4009,566.15,566.15
24115,,A,9.87,8.78,8.78,2.1,20.75,20.75,33.4009,693.07,693.07
24116,,A,11.92,9.43,9.43,2.54,23.89,23.89,33.4009,797.95,797.95
24120,,A,6.65,7.2,7.2,1.34,15.19,15.19,33.4009,507.36,507.36
24125,,A,7.94,8.17,8.17,1.69,17.8,17.8,33.4009,594.54,594.54
24126,,A,8.4,8.31,8.31,1.78,18.49,18.49,33.4009,617.58,617.58
24130,,A,6.26,7.04,7.04,1.23,14.53,14.53,33.4009,485.32,485.32
24134,,A,9.96,8.97,8.97,2.12,21.05,21.05,33.4009,703.09,703.09
24136,,A,8.19,8.05,8.05,1.74,17.98,17.98,33.4009,600.55,600.55
